Year,Population,±% p.a.,Region_nr,Region
1950,228902000,—,6,Total Africa
1960,284887000,+2.21%,6,Total Africa
1970,365626000,+2.53%,6,Total Africa
1980,477965000,+2.72%,6,Total Africa
1990,631614000,+2.83%,6,Total Africa
2000,814063000,+2.57%,6,Total Africa
2010,1044107000,+2.52%,6,Total Africa
2021,1393676444,+2.66%,6,Total Africa
1950,226719000,—,11,Total North America
1960,276291000,+2.00%,11,Total North America
1970,326036000,+1.67%,11,Total North America
1980,376390000,+1.45%,11,Total North America
1990,429653000,+1.33%,11,Total North America
2000,490818000,+1.34%,11,Total North America
2010,546867000,+1.09%,11,Total North America
2021,597122924,+0.80%,11,Total North America
1950,113739000,—,12,Total South America
1960,149066000,+2.74%,12,Total South America
1970,193486000,+2.64%,12,Total South America
1980,242862000,+2.30%,12,Total South America
1990,297869000,+2.06%,12,Total South America
2000,349796000,+1.62%,12,Total South America
2010,397085000,+1.28%,12,Total South America
2021,434254119,+0.82%,12,Total South America
1950,1394018000,—,18,Total Asia
1960,1686698000,+1.92%,18,Total Asia
1970,2120430000,+2.31%,18,Total Asia
1980,2625584000,+2.16%,18,Total Asia
1990,3202475000,+2.01%,18,Total Asia
2000,3714470000,+1.49%,18,Total Asia
2010,4169850000,+1.16%,18,Total Asia
2021,4694576167,+1.08%,18,Total Asia
1950,549089000,—,23,Total Europe
1960,605619000,+0.98%,23,Total Europe
1970,657221000,+0.82%,23,Total Europe
1980,693859000,+0.54%,23,Total Europe
1990,721086000,+0.39%,23,Total Europe
2000,726407000,+0.07%,23,Total Europe
2010,735395000,+0.12%,23,Total Europe
2021,745173774,+0.12%,23,Total Europe
1950,12682000,—,24,Total Oceania
1960,15784000,+2.21%,24,Total Oceania
1970,19688000,+2.23%,24,Total Oceania
1980,22972000,+1.55%,24,Total Oceania
1990,26971000,+1.62%,24,Total Oceania
2000,31068000,+1.42%,24,Total Oceania
2010,36411000,+1.60%,24,Total Oceania
2016,39901000,+1.54%,24,Total Oceania
2021,44491724,+2.20%,24,Total Oceania
1950,2525149000,—,25,Total World
1960,3018344000,+1.80%,25,Total World
1970,3682488000,+2.01%,25,Total World
1980,4439632000,+1.89%,25,Total World
1990,5309668000,+1.81%,25,Total World
2000,6126622000,+1.44%,25,Total World
2010,6929725000,+1.24%,25,Total World
2021,7909295151,+1.21%,25,Total World
